date,case,death
2014-01-31,132,74
2014-02-28,175,67
2014-03-31,240,71
2014-04-30,314,165
2014-05-31,299,165
2014-06-30,156,89
2014-07-31,253,81
2014-08-31,119,41
2014-09-30,188,43
2014-10-31,267,43
2014-11-30,129,48
2014-12-31,33,8
2015-01-31,61,33
2015-02-28,32,11
2015-03-31,29,17
2015-04-30,32,10
2015-05-31,140,48
2015-06-30,158,59
2015-07-31,382,74
2015-08-31,89,67
2015-09-30,193,72
2015-10-31,284,20
2015-11-30,54,10
2015-12-31,32,34
2016-01-31,21,0
2016-02-29,14,0
2016-03-31,24,3
2016-04-30,9,0
2016-05-31,13,12
2016-06-30,14,11
2016-07-31,67,24
2016-08-31,7,7
2016-09-30,182,60
2016-10-31,81,0
2016-11-30,63,2
2016-12-31,4,0
2017-01-31,213,16
2017-02-28,442,128
2017-03-31,164,60
2017-04-30,16,6
2017-05-31,84,48
2017-06-30,13,0
2017-07-31,60,8
2017-08-31,395,34
2017-09-30,45,9
2017-10-31,138,18
2017-11-30,241,22
2017-12-31,30,1
2018-01-31,118,4
2018-02-28,97,22
2018-03-31,61,23
2018-04-30,34,20
2018-05-31,262,70
2018-06-30,68,3
2018-07-31,85,5
2018-08-31,60,2
2018-09-30,11,10
2018-10-31,3,1
2018-11-30,136,0
2018-12-31,6,0
